ID	log2(fold change)	-log10(Pvalue)
A_19_P00315627	1.352	4.533
A_19_P00315647	1.6	3.886
A_19_P00315804	1.192	4.22
A_19_P00315914	0.576	3.196
A_19_P00317793	0.713	4.049
A_19_P00318113	-1.875	4.03
A_19_P00318304	0.745	4.43
A_19_P00320759	0.676	3.09
A_19_P00320792	0.555	3.332
A_19_P00322058	0.827	3.113
A_19_P00322220	0.752	3.85
A_19_P00322573	0.577	3.39
A_19_P00322605	1.852	4.267
A_19_P00322967	0.707	3.83
A_19_P00802098	0.566	3.066
A_19_P00803558	0.424	3.155
A_19_P00810465	0.514	3.371
A_19_P00812924	1.328	3.638
A_21_P0000003	0.88	4.92
A_21_P0000015	2.981	4.284
A_21_P0000173	2.024	6.323
A_21_P0000234	-0.353	3.124
A_21_P0000473	0.529	3.273
A_21_P0000504	1.565	5.162
A_21_P0000560	1.309	3.661
A_21_P0000611	0.556	3.87
A_21_P0000624	0.815	3.243
A_21_P0000661	-2.005	4.883
A_21_P0000676	1.221	4.26
A_21_P0000711	0.65	3.202
A_21_P0000805	1.305	3.339
A_21_P0000821	-0.461	3.088
A_21_P0000913	0.781	3.166
A_21_P0001015	0.888	3.11
A_21_P0001111	5.513	6.533
A_21_P0001161	3.825	5.936
A_21_P0001170	1.235	3.38
A_21_P0001397	1.093	4.553
A_21_P0001405	1.23	3.926
A_21_P0001497	2.188	3.202
A_21_P0001637	0.862	3.56
A_21_P0001659	3.991	5.873
A_21_P0001892	-0.635	3.289
A_21_P0001993	0.593	3.804
A_21_P0002107	1.902	4.14
A_21_P0002142	4.85	7.1
A_21_P0002352	-1.762	3.551
A_21_P0002355	1.473	3.426
A_21_P0002441	0.887	3.384
A_21_P0002595	0.752	3.069
A_21_P0002746	6.308	5.384
A_21_P0002985	-1.461	4.407
A_21_P0002988	-1.793	3.926
A_21_P0003673	1.167	3.121
A_21_P0003868	1.348	3.251
A_21_P0003882	-0.779	3.651
A_21_P0004107	0.718	3.073
A_21_P0004168	1.288	3.299
A_21_P0004243	1.651	3.44
A_21_P0004526	3.562	7.131
A_21_P0004678	0.802	3.895
A_21_P0004942	0.767	3.922
A_21_P0005057	1.195	3.415
A_21_P0005129	1.043	4.862
A_21_P0005192	0.901	4.348
A_21_P0005234	2.189	3.106
A_21_P0005248	0.777	3.938
A_21_P0005786	1.317	4.205
A_21_P0006001	1.466	4.77
A_21_P0006062	1.567	3.557
A_21_P0006124	1.925	5.045
A_21_P0006146	0.91	4.199
A_21_P0006147	0.621	3.319
A_21_P0006186	1.516	3.246
A_21_P0006446	1.128	3.284
A_21_P0006521	3.011	8.514
A_21_P0006884	-0.75	3.089
A_21_P0006896	0.808	3.45
A_21_P0006970	-0.691	3.506
A_21_P0007152	1.455	4.236
A_21_P0007160	4.651	5.565
A_21_P0007225	0.465	3.112
A_21_P0007323	-1.475	4.337
A_21_P0007405	1.693	5.023
A_21_P0007426	3.378	6.156
A_21_P0007544	1.702	4.577
A_21_P0007596	0.723	3.408
A_21_P0007652	1.173	3.129
A_21_P0007662	5.026	8.791
A_21_P0007693	1.261	3.115
A_21_P0007739	0.749	3.145
A_21_P0007742	1.015	5.255
A_21_P0007781	1.76	3.27
A_21_P0008117	1.289	3.095
A_21_P0008212	2.185	3.149
A_21_P0008292	1.52	3.186
A_21_P0008324	1.497	3.298
A_21_P0008627	-0.373	3.149
A_21_P0008717	0.79	3.507
A_21_P0008777	1.768	4.642
A_21_P0008937	1.352	4.389
A_21_P0009454	1.25	3.204
