ID	log2(fold change)	-log10(Pvalue)
A_21_P0002142	3.685	4.837
A_21_P0002746	5.44	6.968
A_21_P0004526	3.598	6.428
A_21_P0007160	3.718	6.447
A_23_P139786	2.664	6.912
A_23_P145874	2.628	5.771
A_23_P162010	2.538	4.885
A_23_P163353	-1.022	5.477
A_23_P23074	3.53	4.905
A_23_P24004	2.343	5.242
A_23_P315364	2.382	5.437
A_23_P359214	1.375	5.074
A_23_P39465	3.351	4.824
A_23_P45871	2.789	4.905
A_23_P52430	-1.55	6.498
A_23_P65442	2.506	4.996
A_23_P68155	3.565	5.613
A_23_P7144	2.324	6.361
A_24_P183150	1.517	5.498
A_24_P208081	2.105	5.734
A_24_P257416	1.524	4.858
A_24_P304071	2.227	5.158
A_33_P3220911	4.039	5.022
A_33_P3240843	2.798	7.858
A_33_P3244728	-1.074	4.677
A_33_P3283611	1.964	5.553
A_33_P3291871	1.535	4.972
A_33_P3343175	2.478	5.581
A_33_P3348872	3.934	6.606
ERCC-00142_99	2.902	6.397
