ID	log2(fold change)	-log10(Pvalue)
(+)E1A_r60_1	0.901	3.889
(+)E1A_r60_a107	0.815	3.263
(+)E1A_r60_a135	1.01	3.449
(+)E1A_r60_a20	0.681	2.77
(+)E1A_r60_a22	0.974	3.528
(+)E1A_r60_a97	0.82	3.133
(+)E1A_r60_n11	0.892	3.059
(+)E1A_r60_n9	0.762	3.218
A_19_P00315518	1.06	1.734
A_19_P00315528	-0.553	1.897
A_19_P00315529	-0.665	2.99
A_19_P00315541	0.52	1.751
A_19_P00315625	1.037	2.313
A_19_P00315627	2.438	6.364
A_19_P00315633	-1.216	3.016
A_19_P00315641	1.029	4.373
A_19_P00315647	2.42	5.125
A_19_P00315668	-0.834	4.475
A_19_P00315691	-1.105	2.187
A_19_P00315717	-0.664	4.009
A_19_P00315718	-0.541	3.322
A_19_P00315738	0.584	2.041
A_19_P00315753	-0.93	4.259
A_19_P00315764	-0.439	3.004
A_19_P00315789	0.538	1.802
A_19_P00315798	-1.376	2.464
A_19_P00315804	2.555	6.579
A_19_P00315810	-0.39	1.892
A_19_P00315843	-0.566	3.852
A_19_P00315869	-0.518	3.769
A_19_P00315900	0.422	2.708
A_19_P00315914	1.226	5.421
A_19_P00315922	1.001	3.222
A_19_P00315941	0.586	2.334
A_19_P00316034	0.921	5.087
A_19_P00316035	-1.19	1.767
A_19_P00316159	-0.684	3.878
A_19_P00316185	-0.678	4.354
A_19_P00316187	1.139	4.889
A_19_P00316199	-1.207	3.541
A_19_P00316200	-1.089	3.518
A_19_P00316231	0.519	1.746
A_19_P00316242	-2.546	4.409
A_19_P00316256	-0.71	1.76
A_19_P00316257	-1.481	2.16
A_19_P00316286	-1.071	2.559
A_19_P00316324	1.94	4.9
A_19_P00316325	0.523	2.534
A_19_P00316326	-0.911	5.034
A_19_P00316344	-0.537	2.989
A_19_P00316370	-0.904	1.888
A_19_P00316375	0.366	2.387
A_19_P00316415	-1.08	3.602
A_19_P00316419	0.585	3.214
A_19_P00316423	-0.426	3.567
A_19_P00316455	0.544	1.843
A_19_P00316467	-1.18	2.023
A_19_P00316493	-0.93	2.525
A_19_P00316497	-1.444	5.329
A_19_P00316511	0.367	1.831
A_19_P00316541	0.57	3.252
A_19_P00316624	-1.467	2.066
A_19_P00316629	-0.416	2.647
A_19_P00316659	0.622	3.969
A_19_P00316666	2.03	2.078
A_19_P00316670	-1.096	4.752
A_19_P00316701	0.543	3.302
A_19_P00316705	1.327	2.582
A_19_P00316709	0.337	2.347
A_19_P00316738	-1.643	3.988
A_19_P00316743	2.082	4.524
A_19_P00316758	-0.941	4.931
A_19_P00316778	-0.674	2.308
A_19_P00316820	-0.614	2.749
A_19_P00316836	-1.579	4.103
A_19_P00316838	0.543	1.815
A_19_P00316844	-0.596	1.74
A_19_P00316857	0.859	3.583
A_19_P00316933	-0.543	2.471
A_19_P00316934	0.311	1.94
A_19_P00316985	2.342	6.782
A_19_P00317013	1.031	3.074
A_19_P00317040	0.917	1.908
A_19_P00317052	0.689	3.385
A_19_P00317082	-0.76	3.816
A_19_P00317108	-1.523	5.885
A_19_P00317109	-1.225	5.574
A_19_P00317159	-0.884	2.863
A_19_P00317163	-0.371	2.059
A_19_P00317169	-1.616	2.552
A_19_P00317178	0.469	2.937
A_19_P00317180	1.426	5.244
A_19_P00317182	-1.079	3.695
A_19_P00317237	-0.48	1.775
A_19_P00317272	1.096	3.012
A_19_P00317276	-0.379	3.058
A_19_P00317398	-0.921	4.814
A_19_P00317411	-0.458	1.976
A_19_P00317432	0.359	2.034
A_19_P00317449	-1.182	4.723
A_19_P00317451	-0.552	1.865
A_19_P00317471	-0.734	2.212
A_19_P00317473	0.505	3.351
A_19_P00317481	-1.027	5.414
A_19_P00317508	0.866	2.246
A_19_P00317519	-0.479	3.158
A_19_P00317597	-0.678	3.255
A_19_P00317631	0.542	1.837
A_19_P00317639	1.444	2.38
A_19_P00317647	0.43	1.888
A_19_P00317648	0.524	1.762
A_19_P00317683	0.401	2.766
A_19_P00317732	-0.293	2.022
A_19_P00317743	0.72	4.048
A_19_P00317753	-0.439	2.077
A_19_P00317759	0.614	1.83
A_19_P00317773	-1.361	5.559
A_19_P00317775	-1.407	5.954
