GeneName,Log2FoldChange
ABCA4,1.198
ABHD18,0
ABL1,-0.407
ACO1,-0.596
ACTG2,-0.862
ADAMTS10,0.641
ADAMTS8,-1.032
ADAMTSL3,1.195
ADAR,0.881
ADGRF1,0
ADM2,1.122
ADPRM,0
AFG1L,0
AGRN,0.47
AIFM2,0.845
AK9,0
AKAP17A,0.408
ALB,1.099
ALDH1L2,1.236
ALKBH3,0.615
ALPK1,0.885
AMOT,-1.994
ANGPT2,1.268
ANGPTL1,1.446
ANKRD31,0.564
ANKRD42,0.506
ANKS3,0.563
APOBEC3F,0.804
APOBEC3H,1.217
APOL2,1.492
APOL4,1.457
APOL6,3.839
ARHGAP29,-1.071
ARHGAP4,-0.446
ARHGAP42,-0.562
ARHGAP9,2.472
ARMCX1,0.375
ARMH4,0
ARRB1,-0.51
ASMT,1.129
ASNS,1.093
ATF3,1.882
ATP10A,1.903
ATP4A,3.194
B2M,1.85
BAMBI,0.599
BASP1,-0.408
BATF2,5.647
BCL11A,0.821
BCL2,-0.427
BCL6,0.959
BDNF,0.811
BST2,8.756
BTN3A2,0.851
C1QTNF5,0.92
C1R,0.731
C4orf33,0.937
C5orf34,0.492
CACNA1S,2.113
CADPS,1.085
CALCRL,0.735
CALHM3,4.72
CARD17,1.932
CARS1,0
CASP1,3.22
CATSPER3,0.391
CAV1,1.578
CAV2,0.83
CCDC125,0.637
CCDC174,0
CCDC30,0.751
CCDC81,0.811
CCKBR,3.074
CCL5,4.62
CCNA2,-0.639
CCNE1,-0.48
CCNL1,0.698
CCR10,0.426
CD69,1.571
CD8A,0.975
CDC42,-0.76
CDK20,0.646
CEACAM1,2.974
CEBPB,0.978
CENPB,-0.692
CEP95,0.575
CFAP53,0
CH25H,6.985
CHAC1,1.872
CHD2,0.535
CHN2,1.04
CIDEC,0.535
CLEC2B,1.222
CLEC3B,1.035
CLEC4A,0.895
CLHC1,0
CLK1,0.749
CLK4,0.841
CLN8,-0.552
CLSTN2,-0.842
CMPK2,3.282
CMTR1,0
CNPY1,0.744
COG3,0.585
COL18A1,0
COLEC11,1.552
CORO1A,-0.384
CPO,1.375
CPT1A,0.65
CRELD1,0.581
CRTC2,0.575
CSAG1,2.906
CSAG2,4.364
CSRNP1,0.551
CTH,0.724
CXCL1,3.577
CXCL10,6.996
CXCL11,5.091
CXCL2,2.409
CXCL3,2.059
DAO,1.546
DDIT3,2.369
DDIT4,1.561
DDX58,4.068
DDX60,5.701
DDX60L,5.26
DHRS2,0.941
DHX58,4.05
DMGDH,1.907
DNAI1,0.774
DNAI2,1.588
DNAJB9,0.524
DNAJC25,0.531
DNAJC30,-0.528
DOT1L,-0.773
DPPA2,0.623
DRICH1,0
DSP,2.242
DTX3L,3.653
DUSP10,1.725
DVL1,-0.558
EFCAB6,0.839
EFHB,1.442
EGR1,0.776
EGR4,2.137
EIF2AK2,2.24
ELF1,0.801
ELN,1.082
EMC9,0
ENO3,0.538
EPHX3,-0.607
EPN2,-0.666
EPSTI1,1.991
ERO1B,0
F8A1,-0.64
FADS6,1.372
FAM122C,0.841
FAM174B,-0.412
FAM185A,0.572
FAM241A,0
FBLL1,0.527
FBXO6,1.22
FGF8,2.232
FGR,1.236
FILIP1,0.658
FNDC11,0
FOS,2.373
FOSB,1.005
FRY,0.464
FUT1,1.313
GADD45B,0.566
GADD45G,0.968
GALK2,0.514
GALNT8,0.695
GAS2L1,-0.474
GATA3,1.167
GBP1,2.913
GBP5,2.369
GGTLC1,0.824
GIPR,1.457
GLS,1.251
GNAT1,1.747
GPA33,2.154
GPCPD1,0.457
GPER1,0
GPT2,0.527
GSC,3.905
GTF2IRD2B,-1.121
H2AC6,0
H2AJ,0
H2BC18,0
H2BC3,0
H3-3B,0
HBG1,2.115
HCFC2,0.588
HELQ,0.713
HELZ2,0
HERC5,4.008
HERC6,4.332
HERPUD1,1.313
HES4,0.733
HHIP,0.822
HIP1R,1.529
HLA-A,0.543
HLA-B,0.902
HLA-C,0.891
HLA-E,1.006
HLA-F,0.613
HLA-G,0.735
HRK,0.901
ICAM1,1.925
IER2,0.65
IFI16,4.336
IFI27,4.34
IFI35,2.561
IFI44,6.963
IFI44L,5.515
IFI6,6.886
IFIH1,7.776
IFIT1,5.051
IFIT2,6.169
IFIT3,5.672
IFIT5,2.509
IFITM1,7.056
IFITM2,1.809
IFITM3,1.9
IFNB1,7.722
IFNL1,0
IGF2,2.695
IGSF9,-0.43
IGSF9B,0.598
