#node	identifier	node_degree
AAAS	9606.ENSP00000209873	15
AARS1	9606.ENSP00000261772	41
AASS	9606.ENSP00000403768	7
ABCA2	9606.ENSP00000344155	2
ACADS	9606.ENSP00000242592	22
ACADSB	9606.ENSP00000357873	20
ACADVL	9606.ENSP00000438689	23
ACBD5	9606.ENSP00000365049	21
ACD	9606.ENSP00000483117	21
ACE	9606.ENSP00000290866	16
ACO2	9606.ENSP00000216254	62
ACSF3	9606.ENSP00000479130	15
ACSL4	9606.ENSP00000339787	17
ACTB	9606.ENSP00000494750	173
ACTG1	9606.ENSP00000458162	47
ACTG2	9606.ENSP00000386857	4
ACTL6A	9606.ENSP00000397552	36
ACTL6B	9606.ENSP00000160382	27
ADA2	9606.ENSP00000382731	5
ADAMTSL1	9606.ENSP00000369921	1
ADAR	9606.ENSP00000357459	24
ADARB1	9606.ENSP00000353920	6
ADAT3	9606.ENSP00000332448	16
ADD3	9606.ENSP00000348381	11
ADGRG1	9606.ENSP00000455215	2
ADH5	9606.ENSP00000296412	4
ADNP	9606.ENSP00000360662	31
ADSL	9606.ENSP00000485525	39
AFF4	9606.ENSP00000265343	13
AGA	9606.ENSP00000264595	5
AGT	9606.ENSP00000355627	31
AGTPBP1	9606.ENSP00000338512	1
AGTR1	9606.ENSP00000398832	15
AHCY	9606.ENSP00000217426	24
AHSG	9606.ENSP00000273784	11
AIMP1	9606.ENSP00000378191	32
AIMP2	9606.ENSP00000223029	22
ALDH18A1	9606.ENSP00000360268	78
ALDH3A2	9606.ENSP00000345774	40
ALDH6A1	9606.ENSP00000450436	14
ALG1	9606.ENSP00000262374	29
ALG11	9606.ENSP00000430236	27
ALG12	9606.ENSP00000333813	29
ALG13	9606.ENSP00000378260	27
ALG3	9606.ENSP00000380793	23
ALG9	9606.ENSP00000482437	5
ALKBH8	9606.ENSP00000397673	17
ALS2	9606.ENSP00000264276	9
ALX4	9606.ENSP00000498217	6
AMPD2	9606.ENSP00000499465	9
AMT	9606.ENSP00000273588	21
ANKLE2	9606.ENSP00000350686	23
ANKRD11	9606.ENSP00000301030	22
AP1S2	9606.ENSP00000500695	16
AP2M1	9606.ENSP00000403362	32
AP3B1	9606.ENSP00000255194	19
AP3B2	9606.ENSP00000440984	10
AP4B1	9606.ENSP00000358582	26
AP4E1	9606.ENSP00000261842	27
