#node	identifier	node_degree
ACTG2	9606.ENSP00000386857	1
ADAR	9606.ENSP00000357459	6
ASNS	9606.ENSP00000377845	5
BCL11A	9606.ENSP00000496168	1
BDNF	9606.ENSP00000414303	3
CARS1	9606.ENSP00000369897	5
CDC42	9606.ENSP00000497733	3
CHD2	9606.ENSP00000377747	0
CLN8	9606.ENSP00000328182	0
EIF2AK2	9606.ENSP00000233057	7
FGF8	9606.ENSP00000321797	1
GPT2	9606.ENSP00000345282	3
IFIH1	9606.ENSP00000497271	7
PSPH	9606.ENSP00000378854	5
SAMD9L	9606.ENSP00000326247	5
SAMHD1	9606.ENSP00000493536	5
SCUBE3	9606.ENSP00000274938	0
SHMT2	9606.ENSP00000333667	5
SLC1A4	9606.ENSP00000234256	4
SP110	9606.ENSP00000258381	4
STAMBP	9606.ENSP00000377633	0
TAPT1	9606.ENSP00000385347	0
TREX1	9606.ENSP00000486676	3
TRIT1	9606.ENSP00000321810	2
TUBA1A	9606.ENSP00000439020	2
USP18	9606.ENSP00000215794	5
XPA	9606.ENSP00000364270	0
