#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA4	GNAT1	9606.ENSP00000359245	9606.ENSP00000232461	0	0	0	0	0.128	0.045	0	0.411	0.466
ABCA4	ARHGAP29	9606.ENSP00000359245	9606.ENSP00000260526	0	0	0	0	0.078	0.046	0	0.545	0.564
ABCA4	TAP1	9606.ENSP00000359245	9606.ENSP00000346206	0	0	0	0.554	0.057	0.100	0	0.379	0.427
ABCA4	TAP2	9606.ENSP00000359245	9606.ENSP00000364032	0	0	0	0.561	0.057	0.100	0	0.391	0.438
ABCA4	NRL	9606.ENSP00000359245	9606.ENSP00000454062	0	0	0	0	0.042	0	0	0.581	0.581
ABHD18	LARP1B	9606.ENSP00000496010	9606.ENSP00000321997	0	0.283	0	0	0.084	0	0	0.436	0.597
ABL1	RIPK2	9606.ENSP00000361423	9606.ENSP00000220751	0	0	0	0.575	0.099	0	0	0.395	0.431
ABL1	H3-3B	9606.ENSP00000361423	9606.ENSP00000254810	0	0	0	0	0.070	0.095	0	0.427	0.476
ABL1	SHC2	9606.ENSP00000361423	9606.ENSP00000264554	0	0	0	0.554	0.042	0.073	0.900	0.086	0.908
ABL1	PML	9606.ENSP00000361423	9606.ENSP00000268058	0	0	0	0	0.049	0.053	0	0.507	0.517
ABL1	ALB	9606.ENSP00000361423	9606.ENSP00000295897	0	0	0	0	0	0	0	0.436	0.436
ABL1	FOS	9606.ENSP00000361423	9606.ENSP00000306245	0	0	0	0	0.095	0.332	0	0.406	0.610
ABL1	CDK20	9606.ENSP00000361423	9606.ENSP00000322343	0	0	0	0.589	0	0	0	0.454	0.454
ABL1	CAV1	9606.ENSP00000361423	9606.ENSP00000339191	0	0	0	0	0.063	0.192	0	0.574	0.649
ABL1	MEF2C	9606.ENSP00000361423	9606.ENSP00000340874	0	0	0	0	0	0	0.500	0.222	0.594
ABL1	STAT1	9606.ENSP00000361423	9606.ENSP00000354394	0	0	0	0	0.103	0.096	0	0.658	0.699
ABL1	IFI16	9606.ENSP00000361423	9606.ENSP00000357113	0	0	0	0	0.044	0	0	0.399	0.401
ABL1	JUN	9606.ENSP00000361423	9606.ENSP00000360266	0	0	0	0	0.049	0.532	0	0.554	0.784
ABL1	ITGB2	9606.ENSP00000361423	9606.ENSP00000380948	0	0	0	0	0.055	0.300	0	0.173	0.405
ABL1	BCL6	9606.ENSP00000361423	9606.ENSP00000384371	0	0	0	0	0.086	0.071	0	0.419	0.463
ABL1	HLA-B	9606.ENSP00000361423	9606.ENSP00000399168	0	0	0	0	0.086	0	0	0.477	0.501
ABL1	AGRN	9606.ENSP00000361423	9606.ENSP00000368678	0	0	0	0	0.079	0.062	0	0.475	0.507
ABL1	CD8A	9606.ENSP00000361423	9606.ENSP00000386559	0	0	0	0	0	0.045	0	0.507	0.509
ABL1	MEF2B	9606.ENSP00000361423	9606.ENSP00000402154	0	0	0	0	0	0	0.500	0.093	0.527
ABL1	FGR	9606.ENSP00000361423	9606.ENSP00000363117	0	0	0.074	0.879	0.063	0	0	0.533	0.559
ABL1	TLN2	9606.ENSP00000361423	9606.ENSP00000453508	0	0	0	0	0.062	0.292	0	0.537	0.665
ABL1	BCL2	9606.ENSP00000361423	9606.ENSP00000381185	0	0	0	0	0.055	0	0	0.668	0.673
ABL1	SOCS1	9606.ENSP00000361423	9606.ENSP00000496577	0	0	0	0	0.109	0.450	0	0.544	0.757
ABL1	CDC42	9606.ENSP00000361423	9606.ENSP00000497733	0	0	0	0	0.074	0.110	0.500	0.532	0.781
ABL1	SH3BP2	9606.ENSP00000361423	9606.ENSP00000424846	0	0	0	0	0.042	0.077	0	0.841	0.847
