#node	identifier	node_degree
ABCA4	9606.ENSP00000359245	5
ABHD18	9606.ENSP00000496010	1
ABL1	9606.ENSP00000361423	24
ACO1	9606.ENSP00000309477	8
ACTG2	9606.ENSP00000386857	1
ADAMTS10	9606.ENSP00000471851	1
ADAMTS8	9606.ENSP00000257359	1
ADAMTSL3	9606.ENSP00000286744	0
ADAR	9606.ENSP00000357459	62
ADGRF1	9606.ENSP00000360299	0
ADM2	9606.ENSP00000379087	6
ADPRM	9606.ENSP00000369099	0
AFG1L	9606.ENSP00000357973	0
AGRN	9606.ENSP00000368678	18
AIFM2	9606.ENSP00000478931	7
AK9	9606.ENSP00000410186	1
AKAP17A	9606.ENSP00000324827	2
ALB	9606.ENSP00000295897	61
ALDH1L2	9606.ENSP00000258494	6
ALKBH3	9606.ENSP00000302232	1
ALPK1	9606.ENSP00000498374	1
AMOT	9606.ENSP00000361027	1
ANGPT2	9606.ENSP00000314897	11
ANGPTL1	9606.ENSP00000234816	0
ANKRD31	9606.ENSP00000274361	0
ANKRD42	9606.ENSP00000435790	1
ANKS3	9606.ENSP00000304586	2
APOBEC3F	9606.ENSP00000309749	9
APOBEC3H	9606.ENSP00000385741	6
APOL2	9606.ENSP00000249066	3
APOL4	9606.ENSP00000338260	1
APOL6	9606.ENSP00000386280	16
ARHGAP29	9606.ENSP00000260526	2
ARHGAP4	9606.ENSP00000359045	4
ARHGAP42	9606.ENSP00000298815	1
ARHGAP9	9606.ENSP00000499232	6
ARMCX1	9606.ENSP00000361917	1
ARMH4	9606.ENSP00000267485	0
ARRB1	9606.ENSP00000409581	19
ASMT	9606.ENSP00000370639	1
ASNS	9606.ENSP00000377845	25
ATF3	9606.ENSP00000344352	41
ATP10A	9606.ENSP00000450480	0
ATP4A	9606.ENSP00000262623	6
B2M	9606.ENSP00000497910	53
BAMBI	9606.ENSP00000364683	1
BASP1	9606.ENSP00000319281	1
BATF2	9606.ENSP00000301887	35
BCL11A	9606.ENSP00000496168	8
BCL2	9606.ENSP00000381185	59
BCL6	9606.ENSP00000384371	32
BDNF	9606.ENSP00000414303	27
BST2	9606.ENSP00000252593	71
BTN3A2	9606.ENSP00000366937	10
C1QTNF5	9606.ENSP00000431140	0
C1R	9606.ENSP00000444271	6
C4orf33	9606.ENSP00000281146	0
C5orf34	9606.ENSP00000303490	0
CACNA1S	9606.ENSP00000355192	7
CADPS	9606.ENSP00000373215	2
CALCRL	9606.ENSP00000376177	2
CALHM3	9606.ENSP00000358798	1
CARD17	9606.ENSP00000364859	1
CARS1	9606.ENSP00000369897	12
CASP1	9606.ENSP00000433138	54
CATSPER3	9606.ENSP00000282611	1
CAV1	9606.ENSP00000339191	29
CAV2	9606.ENSP00000222693	5
CCDC125	9606.ENSP00000379754	0
CCDC174	9606.ENSP00000373304	0
CCDC30	9606.ENSP00000339280	0
CCDC81	9606.ENSP00000415528	0
CCKBR	9606.ENSP00000435534	3
CCL5	9606.ENSP00000474412	73
CCNA2	9606.ENSP00000481380	19
CCNE1	9606.ENSP00000262643	11
CCNL1	9606.ENSP00000295926	2
CCR10	9606.ENSP00000332504	9
CD69	9606.ENSP00000228434	34
CD8A	9606.ENSP00000386559	85
CDC42	9606.ENSP00000497733	39
CDK20	9606.ENSP00000322343	3
CEACAM1	9606.ENSP00000161559	9
CEBPB	9606.ENSP00000305422	50
CENPB	9606.ENSP00000369075	3
CEP95	9606.ENSP00000450461	0
CFAP53	9606.ENSP00000381553	4
CH25H	9606.ENSP00000360918	6
CHAC1	9606.ENSP00000484644	25
CHD2	9606.ENSP00000377747	1
CHN2	9606.ENSP00000222792	2
CIDEC	9606.ENSP00000373328	4
CLEC2B	9606.ENSP00000228438	8
CLEC3B	9606.ENSP00000296130	2
CLEC4A	9606.ENSP00000229332	3
CLHC1	9606.ENSP00000384869	2
CLK1	9606.ENSP00000394734	4
CLK4	9606.ENSP00000316948	1
CLN8	9606.ENSP00000328182	1
CLSTN2	9606.ENSP00000402460	0
CMPK2	9606.ENSP00000256722	57
CMTR1	9606.ENSP00000362550	7
